X_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
63,63,2021,Toronto Birth Centre,TâKaranto Ondaadizi-Gamig Mushkiki Gitigaan - Toronto Birth Centre Medicine Garden,Communal Garden,1,5,72,NIA,Regent Park Community Garden,Sackville Street,M5A 3G1,Y,Toronto Centre,13,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36307503, 43.66101778]]}"
64,64,2021,Toronto Green Community,Eglinton Park Community Garden,City Park,1,500,100,None,North Toronto Memorial Community Centre,200 Eglinton Avenue West,M5A 2C6,None,Eglinton-Lawrence,8,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40462301, 43.70610583]]}"
65,65,2021,Woburn JR. P. S.,Woburn JR P. S. Pollinator Garden,School Learning Garden,6,5,142,NIA,Woburn Junior Public School,40 Dormington Drive,M1G 3N2,None,Scarborough-Guildwood,24,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.22700167, 43.77950279]]}"
66,66,2022,All Saints Pollinators,All Saints Pollinator Garden,Spiritual Centre Garden,3,90.4,73,None,All Saints Church-Community Centre,315 Dundas Street East,"
M5A 2A2
",None,Toronto Centre,13,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37082045, 43.65818808]]}"
67,67,2022,Braeburn Neighbourhood Place & Boys and Girls Club,Braeburn Kids Are Making a Difference!,Communal Garden,1,65,5,NIA,Braeburn Neighbourhood Place,75 Tandridge Crescent,M9W 2N9,None,Etobicoke North,1,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5467221, 43.72888127]]}"
68,68,2022,Carlton Park Pollinators ,Carlton Park Pollinator Patch,City Park,1,24,171,None,Carlton Park,20 Edith Avenue,M6P 3T5,None,Davenport,9,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45491152, 43.66627055]]}"
69,69,2022,Corktown Residents and Business Association,Corktown Community Pollinator Garden,City Park,1,139.3,73,None,Sackville Playground,5 Ashby Place,M5A 1L4,None,Toronto Centre,13,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35784443, 43.65634336]]}"
70,70,2022,Cornell's Butterfly Garden,Cornell's Butterfly Garden,School Learning Garden,1,148.6,141,NIA,Cornell Junior Public School,61 Holmfirth Terrace,M1G 1G8,None,Scarborough-Guildwood,24,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.21803822, 43.75939257]]}"
71,71,2022,Green Industries Program at David and Mary Thomson Collegiate Institute,David and Mary Thomson Pollinator Garden,School Learning Garden,1,224,156,None,David and Mary Thomson Collegiate Institute,125 Brockley Drive,M1P 0E3,None,Scarborough Centre,21,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.26340127, 43.75567005]]}"
72,72,2022,Dewson Street Junior Public School,Dewson Pollinator Gardens,School Learning Garden,1,185.8,80,None,Dewson Street Junior Public School,65 Concord Avenue,M6H 2N9,None,Davenport,9,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42405443, 43.65567509]]}"
73,73,2022,Eastview Gardeners,Eastview Gardeners,School Learning Garden,1,41.8,136,NIA,Eastview Public School,20 Waldock Street,M1E 2E5,None,Scarborough-Guildwood,24,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.19128044, 43.75896336]]}"
74,74,2022,San Lorenzo Latin American Community Centre,El Jardin San Lorenzo,Spiritual Centre Garden,3,45,31,EN,San Lorenzo Latin American Community Centre,22 Wenderly Drive,M6B 2N9,None,Eglinton-Lawrence,8,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45305743, 43.71104895]]}"
